Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12456019,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12456107,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12505903,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12506034,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12557399,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12557415,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12605966,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12606088,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12655997,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12656036,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12705930,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12706158,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12757225,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12757236,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12806369,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12806389,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12856304,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12856314,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12905966,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12906019,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
12955896,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
12956169,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13006872,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13006893,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13056994,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13057031,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13105887,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13106164,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13156008,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13156070,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13206905,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13206923,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13256717,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13256733,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13305989,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13306129,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13355961,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13356309,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13406086,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13406175,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13456127,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13456148,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13506166,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13506302,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13556164,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13556280,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13606211,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13606235,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13656142,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13656160,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13708045,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13708073,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13755945,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13756119,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13806112,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13806159,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13855952,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13856060,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13906227,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13906235,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
13958501,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
13958571,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14005898,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14006146,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14055965,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14056128,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14105996,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14106230,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14155918,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14156319,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14205886,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14206069,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14256175,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14256401,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14306046,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14306143,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14355958,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14356116,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14406405,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14406538,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14456084,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14457739,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14506381,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14506397,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14555907,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14556202,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14605997,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14609315,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14656206,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14656214,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14706481,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14706502,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14756021,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14756301,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14805871,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14806179,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14857166,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14857194,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14906180,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14906206,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
14956575,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
14956628,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15005931,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15006197,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15056124,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15056141,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15105977,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15106162,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15155910,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15156099,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15208794,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15208840,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15255878,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15256104,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15306513,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15306532,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15355858,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15356100,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15406028,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15406212,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15457411,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15457438,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15506125,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15506275,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15556289,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15556341,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15606245,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15606268,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15655935,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15656101,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15706486,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15706514,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15755958,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15756023,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15805964,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15806230,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15856194,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15856319,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15907012,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15907060,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
15956130,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
15956156,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16005949,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16006067,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16056245,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16056399,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16107336,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16107371,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16155975,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16156225,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16205940,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16206100,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16256263,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16256318,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16307572,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16307591,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16355972,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16356099,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16406036,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16406073,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16456612,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16456628,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16506628,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16509091,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16555976,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16556183,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16606122,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16606187,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16656109,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16656130,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16705825,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16705987,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16757711,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16757731,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
16806081,00000325,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
16806138,00000326,false,Rx,0,8,00,00,09,00,00,00,00,00,
